date_of_birth,race_ethnicity:confidence,religion,religion:confidence,sexual_orientation,sexual_orientation:confidence,year_of_award,year_of_award:confidence,award,movie,person
24-ιπε-00,1,Roman Catholic,1,Straight,1,1989,1,Best Supporting Actor,A Fish Called Wanda,Kevin Kline
28-ιπε-00,1,Protestant,1,Straight,1,1990,1,Best Supporting Actor,Glory,Denzel Washington
09-ιπε-00,1,Na,1,Straight,1,1991,1,Best Supporting Actor,Good Fellas,Joe Pesci
18-ιπε-00,1,Na,1,Straight,1,1992,1,Best Supporting Actor,City Slickers,Jack Palance
30-ιπε-00,1,Na,1,Straight,1,1993,1,Best Supporting Actor,Unforgiven,Gene Hackman
15-ιπε-00,1,Na,1,Straight,1,1994,1,Best Supporting Actor,The Fugitive,Tommy Lee Jones
20-ιπε-00,1,Jewish,1,Straight,1,1995,1,Best Supporting Actor,Ed Wood,Martin Landau
26-ιπε-00,1,Na,1,Matter of Dispute,1,1996,1,Best Supporting Actor,The Usual Suspects,Kevin Spacey
02-ιπε-00,1,Na,1,Straight,1,1997,1,Best Supporting Actor,Jerry Maguire,"Cuba Gooding, Jr."
21-ιπε-00,1,Anglican/episcopalian,1,Straight,1,1998,1,Best Supporting Actor,Good Will Hunting,Robin Williams
31-ιπε-00,1,Na,1,Straight,1,1999,1,Best Supporting Actor,Affliction,James Coburn
14-ιπε-00,1,Na,1,Straight,1,2000,1,Best Supporting Actor,The Cider House Rules,Michael Caine
19-ιπε-00,1,Na,1,Straight,1,2001,1,Best Supporting Actor,Traffic,Benicio Del Toro
24-ιπε-00,1,Na,1,Straight,1,2002,1,Best Supporting Actor,Iris,Jim Broadbent
09-ιπε-00,1,Na,1,Straight,1,2003,1,Best Supporting Actor,Adaptation,Chris Cooper
16-ιπε-00,1,Roman Catholic,1,Straight,1,2004,1,Best Supporting Actor,Mystic River,Tim Robbins
01-ιπε-00,1,Na,1,Straight,1,2005,1,Best Supporting Actor,Million Dollar Baby,Morgan Freeman
06-ιπε-00,1,Na,1,Straight,1,2006,1,Best Supporting Actor,Syriana,George Clooney
26-ιπε-00,1,Jewish,1,Straight,1,2007,1,Best Supporting Actor,Little Miss Sunshine,Alan Arkin
01-ιπε-00,1,Na,1,Straight,1,2008,1,Best Supporting Actor,No Country for Old Men,Javier Bardem
04-ιπε-00,1,Na,1,Straight,1,2009,1,Best Supporting Actor,The Dark Knight,Heath Ledger
04-ιπε-00,1,Na,1,Straight,1,2010,1,Best Supporting Actor,Inglourious Basterds,Christoph Waltz
30-ιπε-00,1,Na,1,Straight,1,2011,1,Best Supporting Actor,The Fighter,Christian Bale
13-ιπε-00,1,Na,1,Straight,1,2012,1,Best Supporting Actor,Beginning,Christopher Plummer
04-ιπε-00,0.6571,Na,1,Straight,0.6571,2013,1,Best Supporting Actor,Django Unchained,Christoph Waltz
26-ιπε-00,1,Na,1,Straight,1,2014,1,Best Supporting Actor,Dallas Buyers Club,Jared Leto
06-ιπε-00,1,Na,1,Straight,1,1929,1,Best Actress,7th Heaven,Janet Gaynor
8-Apr-1892,1,Na,1,Straight,1,1930,1,Best Actress,Coquette,Mary Pickford
10-ιπε-00,1,Na,1,Straight,1,1930,1,Best Actress,The Divorcee,Norma Shearer
2-Nov-1868,1,Na,1,Straight,1,1931,1,Best Actress,Min and Bill,Marie Dressler
10-ιπε-00,1,Na,1,Straight,1,1932,1,Best Actress,The Sin of Madelon Claudet,Helen Hayes
12-ιπε-00,1,Atheist,1,Bisexual,1,1934,1,Best Actress,Morning Glory,Katharine Hepburn
13-ιπε-00,1,Na,1,Straight,1,1935,1,Best Actress,It Happened One Night,Claudette Colbert
05-ιπε-00,1,Na,1,Straight,1,1936,1,Best Actress,Dangerous,Bette Davis
12-ιπε-00,1,Jewish,1,Straight,1,1937,1,Best Actress,The Great Ziegfeld,Luise Rainer
12-ιπε-00,1,Jewish,1,Straight,1,1938,1,Best Actress,The Good Earth,Luise Rainer
