date_of_birth,race_ethnicity,religion,sexual_orientation,year_of_award,movie,person
2-Nov-1892,White,Na,Straight,1938,In Old Chicago,Alice Brady
7-Dec-1891,White,Na,Straight,1939,Jezebel,Fay Bainter
10-Jun-1893,Black,Christian,Matter of Dispute,1940,Gone with the Wind,Hattie McDaniel
15-Oct-1879,White,Na,Straight,1941,The Grapes of Wrath,Jane Darwell
03-מאי-06,White,Roman Catholic,Straight,1942,The Great Lie,Mary Astor
27-אוק-18,White,Na,Straight,1943,Mrs. Miniver,Teresa Wright
17-דצמ-00,White,Na,Straight,1944,For Whom the Bell Tolls,Katina Paxinou
15-Aug-1879,White,Roman Catholic,Straight,1945,None but the Lonely Heart,Ethel Barrymore
25-יונ-03,White,Na,Straight,1946,National Velvet,Anne Revere
07-מאי-23,White,Na,Straight,1947,The Razor's Edge,Anne Baxter
29-אפר-17,White,Na,Straight,1948,Gentleman's Agreement,Celeste Holm
08-מרץ-10,White,Na,Straight,1949,Key Largo,Claire Trevor
17-מרץ-16,White,Roman Catholic,Straight,1950,All the King's Men,Mercedes McCambridge
3-Jan-1886,White,Na,Straight,1951,Harvey,Josephine Hull
12-נוב-22,White,Na,Straight,1952,A Streetcar Named Desire,Kim Hunter
28-נוב-23,White,Na,Straight,1953,The Bad and the Beautiful,Gloria Grahame
27-ינו-21,White,Na,Straight,1954,From Here to Eternity,Donna Reed
04-יול-24,White,Na,Straight,1955,On the Waterfront,Eva Marie Saint
30-דצמ-14,White,Na,Straight,1956,East of Eden,Jo Van Fleet
30-ינו-25,White,Na,Straight,1957,Written on the Wind,Dorothy Malone
